agent,prey,pred,agentPreyDist,agentPredDist,preyPredDist,utility
0,11,9,5,5,1,3.0739696564291306
0,11,10,5,6,1,3.0709002176247187
0,11,11,5,5,0,3.0739696564291306
0,11,12,5,4,1,3.074822825462758
0,11,13,5,5,2,3.0738469733622553
0,11,14,5,6,2,3.065989440381019
0,11,15,5,7,3,3.0552010583173126
0,11,16,5,8,4,3.0167988485568213
0,11,17,5,9,5,3.015621313399113
0,11,18,5,8,4,3.0172866750690566
0,11,19,5,9,5,3.010496170874518
0,11,20,5,10,6,2.9706547828699943
0,11,21,5,9,5,3.008760642874038
0,11,22,5,10,6,2.9647070717693556
0,11,23,5,11,7,2.9591492943188697
0,11,24,5,11,7,2.96306149290184
0,11,25,5,11,8,2.9385594724880786
0,11,26,5,11,7,2.9582845326187486
0,11,27,5,11,8,2.937497610641114
0,11,28,5,10,9,2.9201484082518325
0,11,29,5,9,10,2.9171558531893274
0,11,30,5,10,11,2.916116435952741
0,11,31,5,10,12,2.9155744020855123
0,11,32,5,10,12,2.9155744020855123
0,11,33,5,9,12,2.915888534554986
0,11,34,5,8,11,2.916004062987326
0,11,35,5,7,12,2.9174924794151336
0,11,36,5,7,12,2.9175067562745527
0,11,37,5,6,11,2.9189894317201053
0,11,38,5,7,12,2.917706323821144
0,11,39,5,6,11,2.9189838823353984
0,11,40,5,5,10,2.9236038809380984
0,11,41,5,4,9,2.928221570571967
0,11,42,5,4,9,2.9288563763783535
0,11,43,5,4,8,2.938929724227349
0,11,44,5,3,8,2.938929724227349
0,11,45,5,2,7,2.9536894012774204
0,11,46,5,3,8,2.9403354931592074
0,11,47,5,3,7,2.9536894012774204
0,11,48,5,2,6,inf
0,11,49,5,1,6,inf
0,12,0,4,0,4,inf
0,12,1,4,1,3,inf
0,12,2,4,2,4,inf
0,12,3,4,2,4,inf
0,12,4,4,1,4,inf
0,12,5,4,2,3,3.0759525918290347
0,12,6,4,2,2,3.0756828620900025
0,12,7,4,3,1,3.0750483440443617
0,12,8,4,4,2,3.0639749290882454
0,12,9,4,5,2,3.0633010208076223
0,12,10,4,6,2,3.029637617603739
0,12,11,4,5,1,3.0633010208076223
0,12,12,4,4,0,3.0639749290882454
0,12,13,4,5,1,3.067392687536838
0,12,14,4,6,2,3.0223066042757303
0,12,15,4,7,3,3.0075149017690945
0,12,16,4,8,4,2.951075573823517
0,12,17,4,9,5,2.949191591080045
0,12,18,4,8,4,2.951505229219147
0,12,19,4,9,5,2.944142685563717
0,12,20,4,10,6,2.905220597137112
0,12,21,4,9,5,2.9426576932803625
0,12,22,4,10,6,2.89998339000818
0,12,23,4,11,7,2.8954280064689186
0,12,24,4,11,7,2.898748327432911
0,12,25,4,11,8,2.877012308679503
0,12,26,4,11,7,2.8947668599878575
0,12,27,4,11,8,2.8760820393256945
0,12,28,4,10,9,2.8614949624947936
0,12,29,4,9,10,2.859012289681393
0,12,30,4,10,11,2.857838873990474
0,12,31,4,10,12,2.8573303528244027
0,12,32,4,10,12,2.8573303528244027
0,12,33,4,9,12,2.857922989370463
0,12,34,4,8,11,2.8583729833965825
0,12,35,4,7,11,2.860697528075622
0,12,36,4,7,11,2.8607597747118634
0,12,37,4,6,10,2.8624749289839233
0,12,38,4,7,11,2.8610564924563406
0,12,39,4,6,10,2.862462946374266
0,12,40,4,5,9,2.8690855120213303
0,12,41,4,4,8,2.87402898892265
0,12,42,4,4,8,2.8749275204048144
0,12,43,4,4,7,2.888585938995659
0,12,44,4,3,7,2.888585938995659
0,12,45,4,2,6,2.9010190989134834
0,12,46,4,3,7,2.8904995937348223
0,12,47,4,3,6,2.9010190989134834
0,12,48,4,2,5,inf
0,12,49,4,1,5,inf
0,13,0,5,0,5,inf
0,13,1,5,1,4,inf
0,13,2,5,2,5,inf
0,13,3,5,2,5,inf
0,13,4,5,1,5,inf
0,13,5,5,2,4,3.075733284924347
0,13,6,5,2,3,3.075684201570051
0,13,7,5,3,2,3.0753583802912554
0,13,8,5,4,1,3.073948806787183
0,13,9,5,5,2,3.0722078902800507
0,13,10,5,6,2,3.0680989564403536
0,13,11,5,5,2,3.0722078902800507
0,13,12,5,4,1,3.073948806787183
0,13,13,5,5,0,3.0721942952955796
0,13,14,5,6,1,3.0622883942567536
0,13,15,5,7,2,3.0464223460708437
0,13,16,5,8,3,3.0047575086586917
0,13,17,5,9,4,3.0034699024785256
0,13,18,5,8,3,3.0051954984134204
0,13,19,5,9,4,2.998712606451722
0,13,20,5,10,5,2.961466176151217
0,13,21,5,9,4,2.997268573313051
0,13,22,5,10,5,2.956156197164103
0,13,23,5,11,6,2.95198200203396
0,13,24,5,11,6,2.955320769663356
0,13,25,5,11,7,2.933033696065141
0,13,26,5,11,6,2.9513414222819585
0,13,27,5,11,7,2.9320497174277476
